genres,count
,4
Action,2297
Adventure,1591
Alien invasion,1
Animation,903
Biographical,8
Black comedy,1
Body horror,1
Buddy,6
Buddy cop,3
Childrens,3
Christmas,3
Circus,1
Comedy,2916
Comedy drama,6
Comedy horror,2
Comedy of remarriage,1
Comedy thriller,2
Coming-of-age fiction,2
Computer-animated,1
Costume drama,1
Crime,1263
Crime thriller,2
Crossover fiction,1
Detective,1
Disaster,2
Docudrama,1
Documentary,198
Drama,3700
Dystopian,4
Epic,1
Family,1245
Fantastic fiction,7
Fantasy,991
Female buddy,1
Film based on literature,25
Film noir,7
Flashback,1
Foreign,16
Gangster,3
Ghost,2
Girls with guns,2
Heist,6
Historical,2
Historical drama,1
History,386
Horror,1304
Independent,1
Lgbt-related,6
Martial arts,4
Medieval,1
Melodrama,1
Monster,2
Music,329
Musical,6
Mystery,785
Neo-noir,2
Parody,3
Pirate,1
Post-apocalyptic,1
Prison,3
Psychological horror,1
Rape and revenge,2
Religious satire,1
Road movie,2
Romance,1402
Romantic comedy,8
Samurai cinema,1
Satirical or television program,1
Science fiction,1128
Silent,1
Slasher,4
Space opera,1
Spaghetti western,1
Splatter,1
Sport,1
Spy,2
Superhero,6
Supernatural horror,1
Survival,1
Swashbuckler,1
Teen,2
Thriller,2470
Tragicomedy,1
Treasure hunt,1
Vampire,1
Vigilante,1
War,295
Werewolf,1
Western,146
Wuxia,1
